D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
SH3GLB1 3970 3851 4225 3760 4968 5636 5908
SEP15 3455 3546 4129 3072 4052 4560 4546
HS2ST1 225 227 243 185 287 261 319
LMO4 802 220 561 585 186 725 187
PKN2 660 814 806 693 1117 980 1315
GTF2B 1633 1250 2133 1520 1666 2432 1741
CCBL2 994 1231 1072 850 1395 1269 1515
RBMXL1 526 342 598 418 412 733 495
GBP3 129 109 111 214 200 49 77
GBP1 4035 2037 4889 4051 1665 6776 2419
GBP2 5894 7554 6222 6281 11998 7950 10964
GBP7 1 1 147 132 45 6 2
GBP4 1619 1161 2146 1624 920 3039 1048
GBP5 1263 1392 972 1201 1550 1608 1529
GBP6 9 11 8 19 10 12 0
LRRC8B 334 420 327 320 536 404 524
FLJ27354 141 321 102 112 433 179 279
LRRC8C 668 898 551 516 998 753 900
RP5-943J3.2 9 7 8 7 13 25 11
LRRC8D 163 193 227 171 276 294 250
ZNF326 1384 790 1774 1184 885 1984 1360
ZNF644 982 942 1042 863 1189 1171 1319
CDC7 304 262 337 277 243 376 341
TGFBR3 86 46 79 73 50 95 25
SETSIP 16 13 23 16 30 41 26
BTBD8 40 38 50 36 50 51 80
KIAA1107 65 50 64 94 74 73 118
GLMN 512 710 674 518 823 697 954
RPAP2 882 968 985 922 1081 1043 1225
GFI1 231 716 239 243 983 284 675
EVI5 169 423 199 173 403 261 512
RPL5 37846 55847 47677 32821 82278 50251 73538
FAM69A 203 250 266 194 270 271 280
MTF2 1809 1839 1969 1546 2133 2177 2576
TMED5 1463 982 1617 1300 1057 2043 1368
CCDC18 824 417 1096 665 449 1148 615
DR1 1996 1838 2369 1726 2136 2706 2556
FNBP1L 668 784 853 811 752 1183 1520
DNTTIP2 2561 1579 3047 2197 1721 3396 2710
GCLM 1314 772 1753 1126 815 1655 1035
ABCD3 238 139 302 200 179 285 228
CNN3 52 100 48 53 94 37 72
ALG14 196 79 280 167 88 252 119
RWDD3 64 41 53 44 50 73 107
PTBP2 127 184 145 111 250 142 283
DPYD 169 158 176 155 150 107 155
